station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 16:45:00+00:00,95,11.675,39.22,,200.0,250.1
MHJ45,2026-02-05 16:52:30+00:00,70,11.775,38.93,3.13,217.5,248.0
AL945,2026-02-05 16:52:30+00:00,90,11.425,38.67,3.05,222.5,242.4
AL945,2026-02-05 17:00:00+00:00,90,11.375,38.31,3.05,220.0,243.7
MHJ45,2026-02-05 17:00:00+00:00,70,11.800,38.76,3.08,205.0,251.0
MHJ45,2026-02-05 17:07:30+00:00,55,11.350,37.68,3.13,210.0,246.4
AL945,2026-02-05 17:07:30+00:00,90,11.175,36.74,3.10,212.5,250.0
MHJ45,2026-02-05 17:15:00+00:00,75,11.175,36.71,3.20,202.5,251.1
AL945,2026-02-05 17:15:00+00:00,90,11.225,36.86,3.10,205.0,249.8
MHJ45,2026-02-05 17:22:30+00:00,70,11.100,36.37,3.10,200.0,250.6
AL945,2026-02-05 17:22:30+00:00,80,11.475,37.68,2.85,210.0,249.1
MHJ45,2026-02-05 17:30:00+00:00,95,11.175,37.23,3.13,197.5,247.8
AL945,2026-02-05 17:30:00+00:00,70,11.325,38.14,3.15,212.5,242.7
AL945,2026-02-05 17:37:30+00:00,90,11.250,37.77,3.17,207.5,245.4
MHJ45,2026-02-05 17:37:30+00:00,70,10.925,36.60,,220.0,248.0
AL945,2026-02-05 17:45:00+00:00,90,11.125,37.69,,202.5,240.5
MHJ45,2026-02-05 17:45:00+00:00,60,10.500,34.15,,212.5,245.4
MHJ45,2026-02-05 17:52:30+00:00,40,9.850,32.81,,205.0,242.6
AL945,2026-02-05 17:52:30+00:00,65,10.825,37.11,3.17,220.0,233.8
MHJ45,2026-02-05 18:00:00+00:00,90,10.575,33.60,,215.0,271.2
AL945,2026-02-05 18:00:00+00:00,0,10.675,35.70,3.20,212.5,
AL945,2026-02-05 18:07:30+00:00,90,10.475,34.85,3.13,210.0,242.7
MHJ45,2026-02-05 18:07:30+00:00,75,10.675,34.19,3.00,200.0,259.6
AL945,2026-02-05 18:15:00+00:00,90,10.275,34.36,3.17,207.5,243.0
MHJ45,2026-02-05 18:15:00+00:00,95,10.700,34.25,,205.0,266.7
MHJ45,2026-02-05 18:22:30+00:00,75,10.725,34.34,2.97,197.5,262.2
AL945,2026-02-05 18:22:30+00:00,85,10.200,32.96,3.13,205.0,250.5
MHJ45,2026-02-05 18:30:00+00:00,20,9.025,32.96,3.15,220.0,219.9
AL945,2026-02-05 18:30:00+00:00,70,10.000,32.64,2.90,207.5,247.3
MHJ45,2026-02-05 18:37:30+00:00,70,10.925,35.01,3.08,232.5,259.3
AL945,2026-02-05 18:37:30+00:00,70,10.325,32.90,3.17,197.5,263.0
MHJ45,2026-02-05 18:45:00+00:00,70,10.775,35.36,3.08,225.0,254.9
AL945,2026-02-05 18:45:00+00:00,75,10.300,33.27,3.10,200.0,253.9
MHJ45,2026-02-05 18:52:30+00:00,60,10.725,35.22,,222.5,255.3
AL945,2026-02-05 18:52:30+00:00,60,9.600,33.50,3.15,202.5,234.0
MHJ45,2026-02-05 19:00:00+00:00,75,10.775,34.04,,220.0,269.2
AL945,2026-02-05 19:00:00+00:00,65,10.450,33.82,3.10,205.0,251.4
MHJ45,2026-02-05 19:07:30+00:00,75,10.950,34.87,2.90,230.0,272.1
AL945,2026-02-05 19:07:30+00:00,90,10.600,34.76,3.13,215.0,252.2
AL945,2026-02-05 19:15:00+00:00,90,10.638,34.95,3.08,230.0,249.1
MHJ45,2026-02-05 19:15:00+00:00,75,10.925,35.21,2.92,227.5,264.3
AL945,2026-02-05 19:22:30+00:00,80,10.900,35.39,3.08,217.5,254.6
MHJ45,2026-02-05 19:22:30+00:00,70,11.050,35.26,2.95,227.5,266.9
AL945,2026-02-05 19:30:00+00:00,90,10.825,35.69,2.88,207.5,249.2
MHJ45,2026-02-05 19:30:00+00:00,75,11.050,35.86,,227.5,266.7
AL945,2026-02-05 19:37:30+00:00,90,10.875,35.53,3.05,220.0,255.3
MHJ45,2026-02-05 19:37:30+00:00,60,10.875,35.35,,227.5,258.0
MHJ45,2026-02-05 19:45:00+00:00,70,10.775,34.52,,225.0,265.9
AL945,2026-02-05 19:45:00+00:00,90,10.763,35.26,3.00,230.0,256.4
AL945,2026-02-05 19:52:30+00:00,70,10.150,35.30,2.97,220.0,234.1
MHJ45,2026-02-05 19:52:30+00:00,70,10.775,35.05,,215.0,266.1
